"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2788","AUTH-002 @smoke @regression invalid credentials matrix","webkit","2026-06-16","passed","2026-06-16","Authentication UI coverage","ui/auth-ui.spec.js","",""
"","2267","AUTH-002 @smoke @regression invalid credentials matrix","firefox","2026-06-16","passed","2026-06-16","Authentication UI coverage","ui/auth-ui.spec.js","",""
"","1158","API-001 @api @smoke @regression auth login contract","firefox","2026-06-16","passed","2026-06-16","Core API contracts","api/core-api.spec.js","",""
"","2426","CHK-001 @smoke @regression checkout form accepts valid guest details","chromium","2026-06-16","passed","2026-06-16","Booking and checkout UI coverage","ui/booking-checkout.spec.js","",""
"","5436","CART-001 @smoke @regression reservation page booking action is accessible","webkit","2026-06-16","passed","2026-06-16","Booking and checkout UI coverage","ui/booking-checkout.spec.js","",""
"","7112","CHK-001 @smoke @regression checkout form accepts valid guest details","firefox","2026-06-16","passed","2026-06-16","Booking and checkout UI coverage","ui/booking-checkout.spec.js","",""
"","1408","CART-001 @smoke @regression reservation page booking action is accessible","chromium","2026-06-16","passed","2026-06-16","Booking and checkout UI coverage","ui/booking-checkout.spec.js","",""
"","4008","CHK-001 @smoke @regression checkout form accepts valid guest details","webkit","2026-06-16","passed","2026-06-16","Booking and checkout UI coverage","ui/booking-checkout.spec.js","",""
"","5781","API-001 @api @smoke @regression auth login contract","chromium","2026-06-16","passed","2026-06-16","Core API contracts","api/core-api.spec.js","",""
"","1043","API-001 @api @smoke @regression auth login contract","webkit","2026-06-16","passed","2026-06-16","Core API contracts","api/core-api.spec.js","",""
"","1879","AUTH-002 @smoke @regression invalid credentials matrix","chromium","2026-06-16","passed","2026-06-16","Authentication UI coverage","ui/auth-ui.spec.js","",""
"","1179","CART-001 @smoke @regression reservation page booking action is accessible","firefox","2026-06-16","passed","2026-06-16","Booking and checkout UI coverage","ui/booking-checkout.spec.js","",""
"","2222","AUTH-001 @smoke @sanity @regression admin login UI","firefox","2026-06-16","passed","2026-06-16","Authentication UI coverage","ui/auth-ui.spec.js","",""
"","1714","AUTH-001 @smoke @sanity @regression admin login UI","chromium","2026-06-16","passed","2026-06-16","Authentication UI coverage","ui/auth-ui.spec.js","",""
"","6576","AUTH-001 @smoke @sanity @regression admin login UI","webkit","2026-06-16","passed","2026-06-16","Authentication UI coverage","ui/auth-ui.spec.js","",""
